expertise_group,player_index,within_group_index,sensitivity_mode,target_name,block_index,xa,ya,xb,yb,n_fixation,fallback
professional,0,0,habitual,ssw,0,0.9097352037152469,0.8976131172251672,-0.0017025503979964537,0.012267373310322755,22,0
professional,0,0,habitual,ssw,1,0.932284925253841,0.9262525305472912,0.0018470108151075401,0.00793183983030787,24,0
professional,0,0,habitual,fsw,0,0.947922593459878,0.8737989295688683,-0.0035325197047009816,0.017717871750779858,29,0
professional,0,0,habitual,fsw,1,0.9179921198005607,0.8879249737147616,0.005630349423419147,0.01568366994563336,25,0
professional,0,0,habitual,slw,0,0.9306115069154838,0.926746203490875,-0.0007548320924376764,0.01548178706713759,25,0
professional,0,0,habitual,slw,1,0.9303938294885663,0.9109295163047494,2.8446276703440222e-05,0.019756080713956632,29,0
professional,0,0,habitual,flw,0,0.9307184769400292,0.8402553410746687,0.0025274331811597985,0.007816418297371792,26,0
professional,0,0,habitual,flw,1,0.9168383297086113,0.9505329749996378,0.0010101893577953635,0.014473560462755474,29,0
professional,0,0,habitual,svsw,0,0.9160941309439911,0.8423370787450823,0.0011390395253483825,0.014672597008044788,25,0
professional,0,0,habitual,svsw,1,0.9026753509687393,0.9148702141493954,-0.0037785288446490397,0.01750237329321778,21,0
professional,0,0,habitual,ssg,0,0.9631086467966323,0.8427858994564867,0.002779686081933592,0.013663201915707874,29,0
professional,0,0,habitual,ssg,1,0.9692757073309385,0.8192041317060769,0.0008920106204719364,0.011872857002076331,29,0
professional,0,0,habitual,fsg,0,0.9473067675875491,0.8738906831960636,-0.004052430949644654,0.011230173301077163,29,0
professional,0,0,habitual,fsg,1,0.9139741211338303,0.8393390359513005,-0.0017312463201365836,0.01711866886439766,28,0
professional,0,0,habitual,slg,0,0.9134224707507261,0.9134667595772175,-0.0023614577290708826,0.01802488877200816,25,0
professional,0,0,habitual,slg,1,0.9448668175555792,0.7948346492556675,-0.00043772608624372857,0.016290488842764725,26,0
professional,0,0,habitual,flg,0,0.9201062797373238,0.851199321506469,0.003284126697290615,0.014620996438730821,26,0
professional,0,0,habitual,flg,1,0.9294287710776279,0.8830084318559611,-0.00034817693638615173,0.01635729686674353,26,0
professional,0,0,default,ssw,0,0.9183679265153396,0.8993864712933924,-0.0028314409895281666,0.02702854752411646,21,0
professional,0,0,default,ssw,1,0.9478157614886683,1.0025481718506497,0.0049502004412784704,0.022692528489144485,26,0
professional,0,0,default,fsw,0,0.9434035717331041,0.9613771985080103,0.004763919687291234,0.019760532076160336,29,0
professional,0,0,default,fsw,1,0.936188402607459,0.8901205905923498,-0.006633367794027628,0.006307983655175256,29,0
professional,0,0,default,slw,0,0.940606268172192,0.9526421781581711,-0.0035072792782206833,0.015762768060149483,26,0
professional,0,0,default,slw,1,0.9338207451150474,0.8780964964092919,-0.0026898207703975625,0.010770955448092876,16,0
professional,0,0,default,flw,0,0.925901403848356,0.9880612726133751,-0.0030962008312404622,0.018398960169248323,21,0
professional,0,0,default,flw,1,0.9507489966450041,0.9073541698992905,-0.0025108059548908817,0.01989436293039729,29,0
professional,0,0,default,svsw,0,0.9316060904230377,0.8592456162658134,-0.0027677552877939525,-0.0009743848600576605,29,0
professional,0,0,default,svsw,1,0.9661500701334904,0.9039279760474442,0.0008335651878883694,0.01508156257064202,26,0
professional,0,0,default,ssg,0,0.9420791234833763,0.8430429595627073,0.00025344176481601746,0.02164972452042078,26,0
professional,0,0,default,ssg,1,0.9381155687974139,0.9017329122677021,0.003786075207916955,0.03980409748854164,14,0
professional,0,0,default,fsg,0,0.9221383275894328,0.948302699872889,0.001841841759401156,0.01766513020464697,29,0
professional,0,0,default,fsg,1,0.9437940108835964,0.9157577517833317,-0.0031830515924223647,0.02481337121827739,26,0
professional,0,0,default,slg,0,0.9213503736808744,0.8668071617885381,-0.007132468265864829,0.015767020114581778,19,0
professional,0,0,default,slg,1,0.934234270015412,0.8729737572382972,-0.0065030099869901395,0.01030375230812871,29,0
professional,0,0,default,flg,0,0.9653365305741748,0.8844516200355141,-0.0033664738110159827,0.01990345063000984,29,0
professional,0,0,default,flg,1,0.9498155329232518,0.8237618168545033,0.0007814102486916677,0.01616693616490863,26,0
professional,1,1,habitual,ssw,0,0.9261115218431004,0.9219355482851431,-0.0027256889769863,0.001114611596095833,29,0
professional,1,1,habitual,ssw,1,0.9221349174006792,0.9044774441274269,-0.001628298902358328,-0.0013425921517230565,29,0
professional,1,1,habitual,fsw,0,0.9291466454576457,0.9131180372805612,-0.0010927896121175904,-0.0008204489733979457,29,0
professional,1,1,habitual,fsw,1,0.9562866680940392,0.9420070667248468,2.4245630273308366e-05,3.35488468324735e-05,29,0
professional,1,1,habitual,slw,0,0.919674653999729,0.9301826318802218,-0.00036552441062605214,-0.004470070860349151,29,0
professional,1,1,habitual,slw,1,0.9488845211472017,0.9700246486058826,-0.0029396873344562594,-0.001166346228676311,29,0
professional,1,1,habitual,flw,0,0.9545141878849854,0.9219469671847299,-0.0025362266024887667,0.0024687402356562507,29,0
professional,1,1,habitual,flw,1,0.9244484843114714,0.9368436041554613,0.0011791890748311237,-0.004272673063190414,29,0
professional,1,1,habitual,svsw,0,0.9074945823504175,0.9357501535094023,-0.0033721317105667226,0.000455771868390434,29,0
professional,1,1,habitual,svsw,1,0.9390241767578473,0.926604151281069,-0.003883784833300792,-0.0020337182650871,29,0
professional,1,1,habitual,ssg,0,0.926588854746773,0.9148290305430259,-0.004054175115991185,0.0013380941666232644,29,0
professional,1,1,habitual,ssg,1,0.9362566897233346,0.9569306022871418,-0.0014524814852083998,-0.0018448330195691347,29,0
professional,1,1,habitual,fsg,0,0.9377726436332746,0.9184872356079541,-0.0015201203936301639,-0.0005491859181742426,29,0
professional,1,1,habitual,fsg,1,0.9394175747048797,0.9509449213918566,-0.003399285203874936,-0.0077439997774066405,29,0
professional,1,1,habitual,slg,0,0.9360787065523206,0.9430138346368596,-0.003859409617267056,0.0008811317871822012,29,0
professional,1,1,habitual,slg,1,0.9313134625171764,0.9379331151895174,-0.003911908770816044,-0.0014224663733976082,29,0
professional,1,1,habitual,flg,0,0.9420493973287981,0.9257031476859024,-0.005554208532384564,-0.0009442721414764589,29,0
professional,1,1,habitual,flg,1,0.9370029522638124,0.945548402984048,-0.0007193070222487781,0.0004948092566559414,29,0
professional,1,1,default,ssw,0,0.9338245604561402,0.9449877758570987,-0.0004350900727994548,-0.004831318532979873,29,0
professional,1,1,default,ssw,1,0.9340037456286664,0.9320417121603265,-0.00022718584997145127,-0.0007094079616865442,29,0
professional,1,1,default,fsw,0,0.932463889314579,0.9451064366799973,-0.0004177456741755103,-0.003154077403406076,29,0
professional,1,1,default,fsw,1,0.9195788609417358,0.9755930556066967,-0.0032430878579294583,-0.0015859793940039245,29,0
professional,1,1,default,slw,0,0.9365804537820921,0.9144992906487197,-0.0038036879255354075,-0.0017268868392597298,29,0
professional,1,1,default,slw,1,0.8975024733035578,0.9365559470932243,-0.0012137009594123936,-0.0014459859037128904,28,0
professional,1,1,default,flw,0,0.9412438709274894,0.9393872597358596,-0.0018492906859947462,-0.0026199391091820514,29,0
professional,1,1,default,flw,1,0.9406902953816204,0.9133681888262694,-0.003475377207468579,-0.003675890747303565,29,0
professional,1,1,default,svsw,0,0.9452819080906238,0.9468750318153917,-0.005005553853760671,-0.004504296148731452,29,0
professional,1,1,default,svsw,1,0.9296766794191891,0.9267233518402193,-0.0039644144827565946,-0.002325549774249896,29,0
professional,1,1,default,ssg,0,0.9280211049665757,0.9638001416740906,-0.002197645024167031,-0.0015626629071257133,29,0
professional,1,1,default,ssg,1,0.932321927152027,0.9008825956893305,-0.00033366027953733376,-0.0036177954871629346,29,0
professional,1,1,default,fsg,0,0.9315779381279239,0.9442087496780395,-0.0003916165270386584,-0.0020271177103881872,29,0
professional,1,1,default,fsg,1,0.9274339285961325,0.9196149815741077,-0.0020925041256726323,-0.003648275754347585,29,0
professional,1,1,default,slg,0,0.9588466226136403,0.9512814071569581,-0.004632760497548055,0.0005190080710403555,26,0
professional,1,1,default,slg,1,0.9442032398987318,0.9452092510440298,-0.002924991377822474,-0.002518294896284717,29,0
professional,1,1,default,flg,0,0.9278091350608304,0.9151276807652786,-0.003848768309133598,-0.0043382751606648295,26,0
professional,1,1,default,flg,1,0.928578204533326,0.9475238120947871,-0.004573084350153812,-0.0031075791726172023,28,0
professional,2,2,habitual,ssw,0,0.9447318037610234,0.9651598008194233,-5.1942990666855975e-05,0.007816156348695117,29,0
professional,2,2,habitual,ssw,1,0.9577234973232899,1.0303890898718482,0.004899056226571419,0.005407755488109875,29,0
professional,2,2,habitual,fsw,0,0.9568168371197807,0.9763688977728455,0.0007981929987897502,0.009229342948091874,29,0
professional,2,2,habitual,fsw,1,0.9588955451210808,0.9674461026814263,-0.0016693641774781194,0.007923125999670983,26,0
professional,2,2,habitual,slw,0,0.9531937631047509,0.9622470341009445,-0.0009226411124858636,0.009852861288271134,29,0
professional,2,2,habitual,slw,1,0.9832839061210017,1.088558553680884,-0.0039383041582510825,0.005457543468529717,29,0
professional,2,2,habitual,flw,0,0.9506067637590605,1.0015541497831488,-0.004046316759759189,0.010046544538005254,29,0
professional,2,2,habitual,flw,1,0.9615042824337484,0.9901058509727767,-0.0032311831394913355,0.0076272050675929865,29,0
professional,2,2,habitual,svsw,0,0.9692471416813003,1.0095714508154527,-0.0017258700732365297,0.0071251187015830214,29,0
professional,2,2,habitual,svsw,1,0.9597824137443993,0.9990391986511094,-0.0025251666018249195,0.0030218493775088055,29,0
professional,2,2,habitual,ssg,0,0.9770111912332398,0.9980641753463454,0.0015819419629151147,0.006656374141806301,29,0
professional,2,2,habitual,ssg,1,0.959474085950662,0.9840953991410565,0.0004579531498712028,0.010604045707873285,29,0
professional,2,2,habitual,fsg,0,0.9748288784814186,1.0021596726399706,0.0014611393664470847,0.005338538966736523,29,0
professional,2,2,habitual,fsg,1,0.981761265898746,0.9932089269489152,0.0008597863262991608,0.008807121175019928,29,0
professional,2,2,habitual,slg,0,0.9925196514595757,1.01099756361471,-0.00033411419856032437,0.007319218627853967,29,0
